"consc","Cobstime","consr","Robstime","RlogObstime2","sigma2CD4","sigma2VL"
"consc",27.3579428773347,-2.08427542805548,-1.72370240368504,0.242533402368546,0.247166829263643,6.60535009777641,0.269996564284282
"Cobstime",-2.08427542805548,1.41492385611134,-0.1271616722278,-0.105462692421598,-0.135645390154067,6.60535009777641,0.269996564284282
"consr",-1.72370240368504,-0.1271616722278,0.857735336628336,-0.133971950966397,0.155581126025342,6.60535009777641,0.269996564284282
"Robstime",0.242533402368546,-0.105462692421598,-0.133971950966397,0.0606183990397808,-0.0512589474419796,6.60535009777641,0.269996564284282
"RlogObstime2",0.247166829263643,-0.135645390154067,0.155581126025342,-0.0512589474419796,0.175189349525146,6.60535009777641,0.269996564284282
